13-52-09-929743 | Run Id: auto_lr_low
13-52-10-465886 | Deployment notes: auto with 16 joints, root differences
13-52-10-476810 | Running mode: 0
13-52-10-483921 | Running model: autoencoder
13-52-10-488321 | Batch size: 1000
13-52-10-491397 | Sequence size: 50
13-52-10-495866 | Starting Time:13-52-09-929656
13-52-10-499451 | size of training data:1559752.000000
13-52-10-501621 | size of test data:550644.000000
13-52-10-502197 | Model build started
13-52-15-088823 | Number of parameters: 2150448
13-52-15-088984 | Training started
15-42-31-185327 | TRAIN--> epoch 36 | error 2.450089
15-43-33-304809 | VAL--> epoch 37 | error 0.005484, 550.000000
15-45-33-737719 | TRAIN--> epoch 37 | error 2.410213
15-46-35-039946 | VAL--> epoch 38 | error 0.005430, 550.000000
15-48-44-610738 | TRAIN--> epoch 38 | error 2.372373
15-49-45-989796 | VAL--> epoch 39 | error 0.005381, 550.000000
15-51-48-518378 | TRAIN--> epoch 39 | error 2.335782
15-52-49-075562 | VAL--> epoch 40 | error 0.005323, 550.000000
15-54-50-662973 | TRAIN--> epoch 40 | error 2.301657
15-55-53-014662 | VAL--> epoch 41 | error 0.005273, 550.000000
15-58-00-224455 | TRAIN--> epoch 41 | error 2.268328
15-59-01-153751 | VAL--> epoch 42 | error 0.005238, 550.000000
16-00-59-057403 | TRAIN--> epoch 42 | error 2.236630
16-02-01-426358 | VAL--> epoch 43 | error 0.005196, 550.000000
16-04-09-741464 | TRAIN--> epoch 43 | error 2.205863
16-05-10-560244 | VAL--> epoch 44 | error 0.005134, 550.000000
16-07-12-547817 | TRAIN--> epoch 44 | error 2.177333
16-08-15-622630 | VAL--> epoch 45 | error 0.005097, 550.000000
16-10-16-571388 | TRAIN--> epoch 45 | error 2.149676
16-11-17-777121 | VAL--> epoch 46 | error 0.005063, 550.000000
16-13-16-549685 | TRAIN--> epoch 46 | error 2.123518
16-14-18-017518 | VAL--> epoch 47 | error 0.005025, 550.000000
16-16-19-250038 | TRAIN--> epoch 47 | error 2.097841
16-17-20-754398 | VAL--> epoch 48 | error 0.004977, 550.000000
16-19-18-739197 | TRAIN--> epoch 48 | error 2.073280
16-20-19-311331 | VAL--> epoch 49 | error 0.004943, 550.000000
16-22-25-872340 | TRAIN--> epoch 49 | error 2.050078
16-23-27-109319 | VAL--> epoch 50 | error 0.004901, 550.000000
16-25-26-685252 | TRAIN--> epoch 50 | error 2.027620
16-26-28-507752 | VAL--> epoch 51 | error 0.004871, 550.000000
16-28-35-334190 | TRAIN--> epoch 51 | error 2.005030
16-29-36-181418 | VAL--> epoch 52 | error 0.004834, 550.000000
16-31-37-223362 | TRAIN--> epoch 52 | error 1.984217
16-32-38-196703 | VAL--> epoch 53 | error 0.004806, 550.000000
16-34-36-892779 | TRAIN--> epoch 53 | error 1.963340
16-35-37-676244 | VAL--> epoch 54 | error 0.004763, 550.000000
16-37-40-700349 | TRAIN--> epoch 54 | error 1.944331
16-38-41-539777 | VAL--> epoch 55 | error 0.004740, 550.000000
16-40-36-964833 | TRAIN--> epoch 55 | error 1.925225
16-41-37-751299 | VAL--> epoch 56 | error 0.004718, 550.000000
16-43-42-347843 | TRAIN--> epoch 56 | error 1.907090
16-44-43-506981 | VAL--> epoch 57 | error 0.004675, 550.000000
16-46-41-579443 | TRAIN--> epoch 57 | error 1.888688
16-47-42-181708 | VAL--> epoch 58 | error 0.004650, 550.000000
16-49-42-071299 | TRAIN--> epoch 58 | error 1.872208
16-50-43-405600 | VAL--> epoch 59 | error 0.004623, 550.000000
16-52-42-267776 | TRAIN--> epoch 59 | error 1.856157
16-53-42-720157 | VAL--> epoch 60 | error 0.004604, 550.000000
16-55-42-608843 | TRAIN--> epoch 60 | error 1.839017
16-56-43-404572 | VAL--> epoch 61 | error 0.004561, 550.000000
16-58-40-197382 | TRAIN--> epoch 61 | error 1.824039
16-59-40-331786 | VAL--> epoch 62 | error 0.004549, 550.000000
17-01-43-871518 | TRAIN--> epoch 62 | error 1.808995
17-02-45-127428 | VAL--> epoch 63 | error 0.004510, 550.000000
17-04-42-661155 | TRAIN--> epoch 63 | error 1.794553
17-05-43-518559 | VAL--> epoch 64 | error 0.004489, 550.000000
17-07-47-148297 | TRAIN--> epoch 64 | error 1.780089
17-08-48-300292 | VAL--> epoch 65 | error 0.004459, 550.000000
17-10-47-137710 | TRAIN--> epoch 65 | error 1.766189
17-11-47-880758 | VAL--> epoch 66 | error 0.004439, 550.000000
17-13-49-268213 | TRAIN--> epoch 66 | error 1.753033
17-14-51-274503 | VAL--> epoch 67 | error 0.004413, 550.000000
17-16-54-815853 | TRAIN--> epoch 67 | error 1.739276
17-17-56-752410 | VAL--> epoch 68 | error 0.004389, 550.000000
17-19-53-958112 | TRAIN--> epoch 68 | error 1.726739
17-20-56-159115 | VAL--> epoch 69 | error 0.004363, 550.000000
17-23-00-472163 | TRAIN--> epoch 69 | error 1.714579
17-24-01-682487 | VAL--> epoch 70 | error 0.004346, 550.000000
17-25-58-559793 | TRAIN--> epoch 70 | error 1.702283
17-26-59-961289 | VAL--> epoch 71 | error 0.004322, 550.000000
17-29-06-522235 | TRAIN--> epoch 71 | error 1.690618
17-30-08-103145 | VAL--> epoch 72 | error 0.004293, 550.000000
17-32-07-622708 | TRAIN--> epoch 72 | error 1.679537
17-33-10-886045 | VAL--> epoch 73 | error 0.004275, 550.000000
17-35-10-302098 | TRAIN--> epoch 73 | error 1.668056
17-36-11-086642 | VAL--> epoch 74 | error 0.004263, 550.000000
17-38-14-532988 | TRAIN--> epoch 74 | error 1.657311
17-39-15-987115 | VAL--> epoch 75 | error 0.004235, 550.000000
17-41-19-553946 | TRAIN--> epoch 75 | error 1.646707
17-42-21-167021 | VAL--> epoch 76 | error 0.004222, 550.000000
17-44-21-001298 | TRAIN--> epoch 76 | error 1.636685
17-45-22-477382 | VAL--> epoch 77 | error 0.004199, 550.000000
17-47-21-483625 | TRAIN--> epoch 77 | error 1.626504
17-48-22-411718 | VAL--> epoch 78 | error 0.004183, 550.000000
17-50-26-267167 | TRAIN--> epoch 78 | error 1.616684
17-51-27-631404 | VAL--> epoch 79 | error 0.004175, 550.000000
17-53-25-294152 | TRAIN--> epoch 79 | error 1.606956
17-54-27-130539 | VAL--> epoch 80 | error 0.004145, 550.000000
17-56-30-673239 | TRAIN--> epoch 80 | error 1.598179
17-57-32-274755 | VAL--> epoch 81 | error 0.004127, 550.000000
17-59-37-119713 | TRAIN--> epoch 81 | error 1.588077
18-00-38-294826 | VAL--> epoch 82 | error 0.004116, 550.000000
18-02-38-641481 | TRAIN--> epoch 82 | error 1.579706
18-03-40-508070 | VAL--> epoch 83 | error 0.004084, 550.000000
18-05-40-984155 | TRAIN--> epoch 83 | error 1.570844
18-06-42-415810 | VAL--> epoch 84 | error 0.004068, 550.000000
18-08-47-890940 | TRAIN--> epoch 84 | error 1.561974
18-09-50-479488 | VAL--> epoch 85 | error 0.004068, 550.000000
18-11-48-345614 | TRAIN--> epoch 85 | error 1.553623
18-12-49-959500 | VAL--> epoch 86 | error 0.004036, 550.000000
18-14-54-420577 | TRAIN--> epoch 86 | error 1.545677
18-15-55-947535 | VAL--> epoch 87 | error 0.004021, 550.000000
18-17-53-955946 | TRAIN--> epoch 87 | error 1.538002
18-18-55-030667 | VAL--> epoch 88 | error 0.004007, 550.000000
18-20-58-263381 | TRAIN--> epoch 88 | error 1.530175
18-21-59-329551 | VAL--> epoch 89 | error 0.003989, 550.000000
18-24-05-403555 | TRAIN--> epoch 89 | error 1.522039
18-25-06-966974 | VAL--> epoch 90 | error 0.003977, 550.000000
18-27-07-261177 | TRAIN--> epoch 90 | error 1.515164
18-28-09-046855 | VAL--> epoch 91 | error 0.003965, 550.000000
18-30-09-396392 | TRAIN--> epoch 91 | error 1.507682
18-31-10-473014 | VAL--> epoch 92 | error 0.003941, 550.000000
18-33-15-590093 | TRAIN--> epoch 92 | error 1.500265
18-34-16-868502 | VAL--> epoch 93 | error 0.003930, 550.000000
18-36-15-894456 | TRAIN--> epoch 93 | error 1.493815
18-37-17-099902 | VAL--> epoch 94 | error 0.003908, 550.000000
18-39-23-543467 | TRAIN--> epoch 94 | error 1.486311
18-40-24-961298 | VAL--> epoch 95 | error 0.003894, 550.000000
18-42-24-820492 | TRAIN--> epoch 95 | error 1.479883
18-43-26-459297 | VAL--> epoch 96 | error 0.003874, 550.000000
18-45-31-531432 | TRAIN--> epoch 96 | error 1.473360
18-46-32-207005 | VAL--> epoch 97 | error 0.003859, 550.000000
18-48-39-500838 | TRAIN--> epoch 97 | error 1.466332
18-49-40-695528 | VAL--> epoch 98 | error 0.003843, 550.000000
18-51-43-206596 | TRAIN--> epoch 98 | error 1.459940
18-52-44-804430 | VAL--> epoch 99 | error 0.003840, 550.000000
18-54-46-757439 | TRAIN--> epoch 99 | error 1.453959
18-55-48-249096 | VAL--> epoch 100 | error 0.003832, 550.000000
18-57-56-483450 | TRAIN--> epoch 100 | error 1.447805
18-58-58-207967 | VAL--> epoch 101 | error 0.003807, 550.000000
19-00-59-377194 | TRAIN--> epoch 101 | error 1.441734
19-02-00-625611 | VAL--> epoch 102 | error 0.003802, 550.000000
19-04-07-667656 | TRAIN--> epoch 102 | error 1.435530
19-05-08-799939 | VAL--> epoch 103 | error 0.003787, 550.000000
19-07-09-390476 | TRAIN--> epoch 103 | error 1.430315
19-08-11-291214 | VAL--> epoch 104 | error 0.003773, 550.000000
19-10-19-173681 | TRAIN--> epoch 104 | error 1.424176
19-11-20-883840 | VAL--> epoch 105 | error 0.003753, 550.000000
19-13-29-411773 | TRAIN--> epoch 105 | error 1.419175
19-14-30-273472 | VAL--> epoch 106 | error 0.003748, 550.000000
19-16-32-809151 | TRAIN--> epoch 106 | error 1.413892
19-17-34-575945 | VAL--> epoch 107 | error 0.003735, 550.000000
19-19-37-175752 | TRAIN--> epoch 107 | error 1.408467
19-20-38-528106 | VAL--> epoch 108 | error 0.003732, 550.000000
19-22-47-186125 | TRAIN--> epoch 108 | error 1.402792
19-23-48-459020 | VAL--> epoch 109 | error 0.003714, 550.000000
19-25-50-515144 | TRAIN--> epoch 109 | error 1.397410
19-26-52-283087 | VAL--> epoch 110 | error 0.003701, 550.000000
19-29-00-808183 | TRAIN--> epoch 110 | error 1.392878
19-30-01-877902 | VAL--> epoch 111 | error 0.003689, 550.000000
19-32-02-986918 | TRAIN--> epoch 111 | error 1.387557
19-33-03-683558 | VAL--> epoch 112 | error 0.003673, 550.000000
19-35-11-747966 | TRAIN--> epoch 112 | error 1.382142
19-36-12-846897 | VAL--> epoch 113 | error 0.003670, 550.000000
19-38-21-888661 | TRAIN--> epoch 113 | error 1.377490
19-39-22-969282 | VAL--> epoch 114 | error 0.003653, 550.000000
19-41-26-836597 | TRAIN--> epoch 114 | error 1.373183
19-42-28-140684 | VAL--> epoch 115 | error 0.003650, 550.000000
19-44-30-691576 | TRAIN--> epoch 115 | error 1.368318
19-45-32-351194 | VAL--> epoch 116 | error 0.003624, 550.000000
19-47-41-439225 | TRAIN--> epoch 116 | error 1.363245
19-48-43-112194 | VAL--> epoch 117 | error 0.003628, 550.000000
19-50-45-697181 | TRAIN--> epoch 117 | error 1.359085
19-51-46-679282 | VAL--> epoch 118 | error 0.003605, 550.000000
19-53-57-207671 | TRAIN--> epoch 118 | error 1.354677
19-54-58-967105 | VAL--> epoch 119 | error 0.003602, 550.000000
19-57-01-709117 | TRAIN--> epoch 119 | error 1.350117
19-58-03-029138 | VAL--> epoch 120 | error 0.003587, 550.000000
20-00-12-822167 | TRAIN--> epoch 120 | error 1.345391
20-01-14-328014 | VAL--> epoch 121 | error 0.003594, 550.000000
20-03-24-371270 | TRAIN--> epoch 121 | error 1.341607
20-04-25-768791 | VAL--> epoch 122 | error 0.003569, 550.000000
20-06-28-711066 | TRAIN--> epoch 122 | error 1.337252
20-07-30-177926 | VAL--> epoch 123 | error 0.003551, 550.000000
20-09-31-815282 | TRAIN--> epoch 123 | error 1.332946
20-10-32-969395 | VAL--> epoch 124 | error 0.003546, 550.000000
20-12-41-941967 | TRAIN--> epoch 124 | error 1.329001
20-13-42-826658 | VAL--> epoch 125 | error 0.003548, 550.000000
20-15-45-218264 | TRAIN--> epoch 125 | error 1.325247
20-16-45-551883 | VAL--> epoch 126 | error 0.003529, 550.000000
20-18-56-089556 | TRAIN--> epoch 126 | error 1.321394
20-19-57-272123 | VAL--> epoch 127 | error 0.003527, 550.000000
20-22-00-387830 | TRAIN--> epoch 127 | error 1.317304
20-23-01-393928 | VAL--> epoch 128 | error 0.003503, 550.000000
20-25-11-029971 | TRAIN--> epoch 128 | error 1.313483
20-26-12-003334 | VAL--> epoch 129 | error 0.003505, 550.000000
20-28-21-617733 | TRAIN--> epoch 129 | error 1.309881
20-29-22-115226 | VAL--> epoch 130 | error 0.003498, 550.000000
20-31-24-629961 | TRAIN--> epoch 130 | error 1.305830
20-32-25-690145 | VAL--> epoch 131 | error 0.003486, 550.000000
20-34-26-897230 | TRAIN--> epoch 131 | error 1.302568
20-35-28-392690 | VAL--> epoch 132 | error 0.003488, 550.000000
20-37-36-222062 | TRAIN--> epoch 132 | error 1.298644
20-38-37-288269 | VAL--> epoch 133 | error 0.003473, 550.000000
20-40-38-725989 | TRAIN--> epoch 133 | error 1.294940
20-41-39-645924 | VAL--> epoch 134 | error 0.003469, 550.000000
20-43-49-217309 | TRAIN--> epoch 134 | error 1.291401
20-44-50-065352 | VAL--> epoch 135 | error 0.003443, 550.000000
20-46-50-197784 | TRAIN--> epoch 135 | error 1.287933
20-47-50-681266 | VAL--> epoch 136 | error 0.003435, 550.000000
20-50-00-041739 | TRAIN--> epoch 136 | error 1.284602
20-51-01-004248 | VAL--> epoch 137 | error 0.003436, 550.000000
20-53-12-948825 | TRAIN--> epoch 137 | error 1.281360
20-54-14-555592 | VAL--> epoch 138 | error 0.003419, 550.000000
20-56-19-210192 | TRAIN--> epoch 138 | error 1.278620
20-57-20-099677 | VAL--> epoch 139 | error 0.003405, 550.000000
20-59-23-255573 | TRAIN--> epoch 139 | error 1.274830
21-00-24-884525 | VAL--> epoch 140 | error 0.003405, 550.000000
21-02-35-141430 | TRAIN--> epoch 140 | error 1.271635
21-03-36-800790 | VAL--> epoch 141 | error 0.003408, 550.000000
21-05-39-814581 | TRAIN--> epoch 141 | error 1.268332
